"","x"
"1",117638.240077784
"2",114005.710831211
"3",122468.377241799
"4",137916.342653013
"5",125845.360080023
"6",130722.269728446
"7",120616.621390412
"8",120955.654948578
"9",135381.564218031
"10",133866.012336403
"11",122790.710470275
"12",121815.571338691
"13",137159.023793859
"14",130105.748378378
"15",128342.665613805
"16",125026.733107638
"17",131913.129753126
"18",132997.797717788
"19",121891.38910442
"20",142412.445089839
"21",115578.713940472
"22",124060.065810289
"23",115460.322341234
"24",137973.918077625
"25",127993.226392224
"26",112935.043042205
"27",121385.935289024
"28",136264.343551637
"29",128317.923666021
"30",121781.37310438
"31",148566.192126141
"32",121512.840035981
"33",141992.249789057
"34",158420.600000334
"35",122621.852023725
"36",104901.174366483
"37",146869.763883899
"38",114446.712757181
"39",131645.235433168
"40",93797.8676626213
"41",137736.197674849
"42",113474.701862457
"43",143628.812845218
"44",153260.123135659
"45",114145.410638935
"46",106738.368439718
"47",64538.3667950891
"48",108887.462689496
"49",104744.144872544
"50",74452.4758857204
"51",127638.5262193
"52",108560.123714256
"53",108902.750219854
"54",117895.762000933
"55",102807.343116356
"56",120277.619369856
"57",122635.525847139
"58",152710.41411722
"59",116937.233896505
"60",147528.265808228
"61",79418.0990423522
"62",117343.806462819
"63",94502.6149384806
"64",101091.818590578
"65",114841.838599631
"66",153490.307675726
"67",99042.4806402929
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
